Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2020,Cayman Islands,5655357984,84018.33258,67311.0,..,..,47.55099869,North America
2020,Central African Republic,2326720900,435.4692478,5343020.0,9.781999588,..,..,Africa
2020,Chad,10715396042,643.7722157,16644701.0,11.67199993,..,4.533199787,Africa
2020,Channel Islands,9301349237,54357.93445,171113.0,..,..,..,Europe
2020,Chile,2.54042E+11,13162.59135,19300315.0,19.35499954,..,89.11248779,South America
2020,Colombia,2.70348E+11,5308.164707,50930662.0,15.69075966,..,55.73310852,South America
2020,Comoros,1225039197,1519.586781,806166.0,11.47599983,..,..,Africa
2020,"Congo, Dem. Rep.",48716961860,524.6666862,92853164.0,..,..,6.666920185,Africa
2020,"Congo, Rep.",11468688141,2011.28344,5702174.0,18.28800011,..,..,Africa
2020,Costa Rica,62395610760,12179.25667,5123105.0,..,..,..,North America
2020,Cote d'Ivoire,63027852805,2350.751397,26811790.0,18.59025002,..,9.7769804,Africa
2020,Croatia,58221300898,14383.8695,4047680.0,10.3530426,..,69.34697723,Europe
2020,Cuba,1.07352E+11,9499.572504,11300698.0,16.6609993,..,45.92990875,North America
2020,Curacao,2534327598,16356.09336,154947.0,15.31299973,..,14.87899971,North America
2020,Cyprus,25227189745,28281.41211,1237537.0,12.93712711,..,92.9377594,Asia
2020,Czechia,2.45975E+11,22992.87938,10697858.0,10.74304962,..,67.18437195,Europe
2020,Denmark,3.54763E+11,60836.59241,5831404.0,11.91557789,..,82.66432953,Europe
2020,Djibouti,3185150981,2921.738706,1090156.0,..,..,..,Africa
2020,Dominica,504214814.8,7003.469891,71995.0,10.66617012,..,..,North America
2020,Dominican Republic,78844656298,7167.914974,10999664.0,20.63400078,..,58.72640991,North America
2020,Ecuador,95865472000,5450.433761,17588595.0,10.58911037,..,57.93766022,South America
2020,El Salvador,24921190000,3960.313892,6292731.0,11.86849117,..,30.81921005,North America
2020,Equatorial Guinea,9893816008,6198.942519,1596049.0,..,..,..,Africa
2020,Eritrea,..,..,3555868.0,..,..,..,Africa
2020,Estonia,31330419851,23565.17594,1329522.0,14.28443909,..,72.0443573,Europe
2020,Eswatini,3982236694,3372.904611,1180655.0,15.89099979,..,..,Africa
2020,Ethiopia,1.07658E+11,918.6525941,117190911.0,22.44799995,..,..,Africa
2020,Faroe Islands,3262045883,62234.96868,52415.0,..,..,..,Europe
2020,Fiji,4432466220,4815.689129,920422.0,16.3920002,..,..,Oceania
